doSpawnParticle,func_72726_b
deleteAllDisplayLists,func_72728_f
clipRenderersByFrustum,func_72729_a
renderStars,func_72730_g
drawSelectionBox,func_72731_b
setWorldAndLoadRenderers,func_72732_a
renderAllRenderLists,func_72733_a
updateClouds,func_72734_e
getDebugInfoRenders,func_72735_c
renderCloudsFancy,func_72736_c
addEntityToTracker,func_72785_a
addEntityToTracker,func_72786_a
removePlayerFromTrackers,func_72787_a
updateTrackedEntities,func_72788_a
removeEntityFromAllTrackingPlayers,func_72790_b
addEntityToTracker,func_72791_a
getHeight,func_72800_K
getLightBrightness,func_72801_o
getLightBrightnessForSkyBlocks,func_72802_i
getBlockMetadata,func_72805_g
extendedLevelsInChunkCache,func_72806_N
getBiomeGenForCoords,func_72807_a
getSkyBlockTypeBrightness,func_72810_a
getSpecialBlockBrightness,func_72812_b
getWeightedThunderStrength,func_72819_i
getWorldTime,func_72820_D
setItemData,func_72823_a
getCloudColour,func_72824_f
getTopSolidOrLiquidBlock,func_72825_h
getCelestialAngle,func_72826_c
getProviderName,func_72827_u
unloadEntities,func_72828_b
checkBlockCollision,func_72829_c
isAABBInMaterial,func_72830_b
getSkyColor,func_72833_a
canBlockFreeze,func_72834_c
tick,func_72835_b
spawnEntityInWorld,func_72838_d
getEntitiesWithinAABBExcludingEntity,func_72839_b
getUniqueDataId,func_72841_b
getBlockDensity,func_72842_a
setRandomSeed,func_72843_D
getEntityPathToXYZ,func_72844_a
getClosestVulnerablePlayer,func_72846_b
onEntityRemoved,func_72847_b
removeWorldAccess,func_72848_b
getBlockLightValue_do,func_72849_a
isBlockFreezableNaturally,func_72850_v
getMoonPhase,func_72853_d
updateAllPlayersSleepingFlag,func_72854_c
checkNoEntityCollision,func_72855_b
getClosestVulnerablePlayerToEntity,func_72856_b
findNearestEntityWithinAABB,func_72857_a
getSaveHandler,func_72860_G
getSpawnPoint,func_72861_E
getChunkProvider,func_72863_F
isBlockIndirectlyGettingPowered,func_72864_z
getPathEntityToEntity,func_72865_a
updateEntityWithOptionalForce,func_72866_a
getRainStrength,func_72867_j
addLoadedEntities,func_72868_a
spawnParticle,func_72869_a
updateEntity,func_72870_g
getEntitiesWithinAABB,func_72872_a
doChunksNearChunkExist,func_72873_a
getPrecipitationHeight,func_72874_g
isMaterialInBB,func_72875_a
createExplosion,func_72876_a
setWorldTime,func_72877_b
getIndirectPowerLevelTo,func_72878_l
isBlockProvidingPowerTo,func_72879_k
getStarBrightness,func_72880_h
sendQuittingDisconnectingPacket,func_72882_A
getFullBlockLightValue,func_72883_k
isBlockFreezable,func_72884_u
newExplosion,func_72885_a
extinguishFire,func_72886_a
playAuxSFXAtEntity,func_72889_a
getClosestPlayerToEntity,func_72890_a
setAllowedSpawnTypes,func_72891_a
setRainStrength,func_72894_k
isRaining,func_72896_J
joinEntityInSurroundings,func_72897_h
blockExists,func_72899_e
removeEntity,func_72900_e
rayTraceBlocks,func_72901_a
setActivePlayerChunksAndCheckLight,func_72903_x
checkChunksExist,func_72904_c
getSeed,func_72905_C
checkSessionLock,func_72906_B
countEntities,func_72907_a
playSoundEffect,func_72908_a
getLoadedEntityList,func_72910_y
isThundering,func_72911_I
getWorldInfo,func_72912_H
addWorldInfoToCrashReport,func_72914_a
setLightValue,func_72915_b
chunkExists,func_72916_c
checkNoEntityCollision,func_72917_a
handleMaterialAcceleration,func_72918_a
getHorizon,func_72919_O
getPendingBlockUpdates,func_72920_a
setBlockMetadataWithNotify,func_72921_c
onEntityAdded,func_72923_a
getPlayerEntityByName,func_72924_a
getSkyBlockTypeBrightness,func_72925_a
playAuxSFX,func_72926_e
getCelestialAngleRadians,func_72929_e
rayTraceBlocks,func_72933_a
playRecord,func_72934_a
isDaytime,func_72935_r
canBlockSeeTheSky,func_72937_j
getChunkFromBlockCoords,func_72938_d
updateEntities,func_72939_s
getActualHeight,func_72940_L
addWeatherEffect,func_72942_c
loadItemData,func_72943_a
getCollidingBoundingBoxes,func_72945_a
calculateInitialWeather,func_72947_a
